YbEdition,yr,rtCode,rtTitle,ptCode,ptTitle,ImportValue,ExportValue,Units,c1,c2,maxyear,Import_percent,Export_percent,mHerfindahl,xHerfindahl
2013,2012,4,Afghanistan,0,World,6204.984101,428.90271,M,4,0,2012,100,100,0.301379359,0.333287896
2013,2012,4,Afghanistan,156,China,713.658794,4.796438,M,4,156,2012,11.5,1.12,0.301379359,0.333287896
2013,2012,4,Afghanistan,276,Germany,258.010815,1.580389,M,4,276,2012,4.16,0.37,0.301379359,0.333287896
2013,2012,4,Afghanistan,364,Iran,498.586348,26.605877,M,4,364,2012,8.04,6.2,0.301379359,0.333287896
2013,2012,4,Afghanistan,392,Japan,600.504247,NULL,M,4,392,2012,9.68,NULL,0.301379359,0.333287896
2013,2012,4,Afghanistan,586,Pakistan,883.020604,201.392865,M,4,586,2012,14.23,46.96,0.301379359,0.333287896
2013,2012,4,Afghanistan,682,Saudi Arabia,NULL,1.706068,M,4,682,2012,NULL,0.4,0.301379359,0.333287896
2013,2012,4,Afghanistan,699,India,118.134234,69.713498,M,4,699,2012,1.9,16.25,0.301379359,0.333287896
2013,2012,4,Afghanistan,826,United Kingdom,30.819381,NULL,M,4,826,2012,0.5,NULL,0.301379359,0.333287896
2013,2012,4,Afghanistan,899,Areas- nes,3102.249678,123.107575,M,4,899,2012,50,28.7,0.301379359,0.333287896
2013,2013,8,Albania,0,World,4880.593254,2331.521928,M,8,0,2013,100,100,0.135474347,0.242005772
2013,2013,8,Albania,4,Afghanistan,0.004751,0.000278,M,8,4,2013,0,0,0.135474347,0.242005772
2013,2013,8,Albania,12,Algeria,8.001317,0.460442,M,8,12,2013,0.16,0.02,0.135474347,0.242005772
2013,2013,8,Albania,28,Antigua and Barbuda,0.009942,NULL,M,8,28,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,31,Azerbaijan,0.000933,0.005498,M,8,31,2013,0,0,0.135474347,0.242005772
2013,2013,8,Albania,32,Argentina,16.728397,NULL,M,8,32,2013,0.34,NULL,0.135474347,0.242005772
2013,2013,8,Albania,36,Australia,1.895482,NULL,M,8,36,2013,0.04,NULL,0.135474347,0.242005772
2013,2013,8,Albania,40,Austria,58.598613,11.851454,M,8,40,2013,1.2,0.51,0.135474347,0.242005772
2013,2013,8,Albania,44,Bahamas,0.001613,NULL,M,8,44,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,48,Bahrain,0.000846,NULL,M,8,48,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,50,Bangladesh,2.420599,0.003051,M,8,50,2013,0.05,0,0.135474347,0.242005772
2013,2013,8,Albania,51,Armenia,0.001585,0.025896,M,8,51,2013,0,0,0.135474347,0.242005772
2013,2013,8,Albania,56,Belgium,22.695189,1.825712,M,8,56,2013,0.47,0.08,0.135474347,0.242005772
2013,2013,8,Albania,60,Bermuda,4.10E-05,NULL,M,8,60,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,64,Bhutan,0.006303,NULL,M,8,64,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,68,Bolivia,0.001619,NULL,M,8,68,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,70,Bosnia Herzegovina,30.940193,2.873326,M,8,70,2013,0.63,0.12,0.135474347,0.242005772
2013,2013,8,Albania,76,Brazil,40.778846,1.720722,M,8,76,2013,0.84,0.07,0.135474347,0.242005772
2013,2013,8,Albania,84,Belize,NULL,0.01614,M,8,84,2013,NULL,0,0.135474347,0.242005772
2013,2013,8,Albania,100,Bulgaria,81.484572,21.965868,M,8,100,2013,1.67,0.94,0.135474347,0.242005772
2013,2013,8,Albania,104,Myanmar,0.001843,NULL,M,8,104,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,112,Belarus,0.639419,1.838688,M,8,112,2013,0.01,0.08,0.135474347,0.242005772
2013,2013,8,Albania,116,Cambodia,0.125589,NULL,M,8,116,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,120,Cameroon,0.388148,NULL,M,8,120,2013,0.01,NULL,0.135474347,0.242005772
2013,2013,8,Albania,124,Canada,30.543754,0.591708,M,8,124,2013,0.63,0.03,0.135474347,0.242005772
2013,2013,8,Albania,132,Cabo Verde,0.177812,NULL,M,8,132,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,136,Cayman Isds,NULL,7.348733,M,8,136,2013,NULL,0.32,0.135474347,0.242005772
2013,2013,8,Albania,140,Central African Rep.,0.018822,NULL,M,8,140,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,144,Sri Lanka,0.303181,0.048788,M,8,144,2013,0.01,0,0.135474347,0.242005772
2013,2013,8,Albania,152,Chile,0.22153,NULL,M,8,152,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,156,China,331.449749,108.391859,M,8,156,2013,6.79,4.65,0.135474347,0.242005772
2013,2013,8,Albania,162,Christmas Isds,0.009412,NULL,M,8,162,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,170,Colombia,1.56273,0.000321,M,8,170,2013,0.03,0,0.135474347,0.242005772
2013,2013,8,Albania,174,Comoros,0.001956,NULL,M,8,174,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,178,Congo,0.061638,0.012414,M,8,178,2013,0,0,0.135474347,0.242005772
2013,2013,8,Albania,184,Cook Isds,0.000245,NULL,M,8,184,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,188,Costa Rica,0.465405,NULL,M,8,188,2013,0.01,NULL,0.135474347,0.242005772
2013,2013,8,Albania,191,Croatia,55.12568,3.597171,M,8,191,2013,1.13,0.15,0.135474347,0.242005772
2013,2013,8,Albania,192,Cuba,0.19068,NULL,M,8,192,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,196,Cyprus,2.212359,0.116787,M,8,196,2013,0.05,0.01,0.135474347,0.242005772
2013,2013,8,Albania,203,Czech Rep.,38.959187,9.001725,M,8,203,2013,0.8,0.39,0.135474347,0.242005772
2013,2013,8,Albania,208,Denmark,4.821361,3.436693,M,8,208,2013,0.1,0.15,0.135474347,0.242005772
2013,2013,8,Albania,214,Dominican Rep.,0.080933,NULL,M,8,214,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,218,Ecuador,15.659732,0.019974,M,8,218,2013,0.32,0,0.135474347,0.242005772
2013,2013,8,Albania,222,El Salvador,0.005742,NULL,M,8,222,2013,0,NULL,0.135474347,0.242005772
2013,2013,8,Albania,226,Equatorial Guinea,NULL,0.378823,M,8,226,2013,NULL,0.02,0.135474347,0.242005772
